floor,shop_name,rating,reviews,status,price,wait_time,favicon_url,categories,hours,phone,social
0,BIFANAS DE VENDAS NOVAS,4.6,1124,Open,1,10,img\BIFANAS VENDAS NOVAS.jpeg,PORTUGUESA,"{""Monday"": ""10:00 a.m. - 12:00 a.m."", ""Tuesday"": ""10:00 a.m. - 12:00 a.m."", ""Wednesday"": ""10:00 a.m. - 12:00 a.m."", ""Thursday"": ""10:00 a.m. - 12:00 a.m."", ""Friday"": ""10:00 a.m. - 12:00 a.m."", ""Saturday"": ""10:00 a.m. - 12:00 a.m."", ""Sunday"": ""10:00 a.m. - 12:00 a.m.""}",+351 800 123 456,"facebook.com/example, instagram.com/example"
0,ARDINA CAFFÉ,3.5,621,Open,2,6,img\ARDINA CAFFÉ.png,CAFÉ E PASTELARIA,"{""Monday"": ""10:00 a.m. - 12:00 a.m."", ""Tuesday"": ""10:00 a.m. - 12:00 a.m."", ""Wednesday"": ""10:00 a.m. - 12:00 a.m."", ""Thursday"": ""10:00 a.m. - 12:00 a.m."", ""Friday"": ""10:00 a.m. - 12:00 a.m."", ""Saturday"": ""10:00 a.m. - 12:00 a.m."", ""Sunday"": ""10:00 a.m. - 12:00 a.m.""}",+351 800 123 456,"facebook.com/example, instagram.com/example"
0,EMPANADAS,3.8,904,Open,2,14,https://www.google.com/s2/favicons?domain=empanadas.com&sz=64,FAST FOOD,"{""Monday"": ""10:00 a.m. - 12:00 a.m."", ""Tuesday"": ""10:00 a.m. - 12:00 a.m."", ""Wednesday"": ""10:00 a.m. - 12:00 a.m."", ""Thursday"": ""10:00 a.m. - 12:00 a.m."", ""Friday"": ""10:00 a.m. - 12:00 a.m."", ""Saturday"": ""10:00 a.m. - 12:00 a.m."", ""Sunday"": ""10:00 a.m. - 12:00 a.m.""}",+351 800 123 456,"facebook.com/example, instagram.com/example"
0,GLEBA,4.0,1127,Open,2,18,img/Gleba.jpg,CAFÉ E PASTELARIA,"{""Monday"": ""10:00 a.m. - 12:00 a.m."", ""Tuesday"": ""10:00 a.m. - 12:00 a.m."", ""Wednesday"": ""10:00 a.m. - 12:00 a.m."", ""Thursday"": ""10:00 a.m. - 12:00 a.m."", ""Friday"": ""10:00 a.m. - 12:00 a.m."", ""Saturday"": ""10:00 a.m. - 12:00 a.m."", ""Sunday"": ""10:00 a.m. - 12:00 a.m.""}",+351 800 123 456,"facebook.com/example, instagram.com/example"
0,HUSSEL,3.7,1099,Closed,3,6,img/HUSSEL.jpg,GELATARIA E DOÇARIA,"{""Monday"": ""10:00 a.m. - 12:00 a.m."", ""Tuesday"": ""10:00 a.m. - 12:00 a.m."", ""Wednesday"": ""10:00 a.m. - 12:00 a.m."", ""Thursday"": ""10:00 a.m. - 12:00 a.m."", ""Friday"": ""10:00 a.m. - 12:00 a.m."", ""Saturday"": ""10:00 a.m. - 12:00 a.m."", ""Sunday"": ""10:00 a.m. - 12:00 a.m.""}",+351 800 123 456,"facebook.com/example, instagram.com/example"
0,JRN DOÇARIAS,3.5,878,Open,1,9,img\JRN DOÇARIAS.png,GELATARIA E DOÇARIA,"{""Monday"": ""10:00 a.m. - 12:00 a.m."", ""Tuesday"": ""10:00 a.m. - 12:00 a.m."", ""Wednesday"": ""10:00 a.m. - 12:00 a.m."", ""Thursday"": ""10:00 a.m. - 12:00 a.m."", ""Friday"": ""10:00 a.m. - 12:00 a.m."", ""Saturday"": ""10:00 a.m. - 12:00 a.m."", ""Sunday"": ""10:00 a.m. - 12:00 a.m.""}",+351 800 123 456,"facebook.com/example, instagram.com/example"
0,OLÁ,4.6,1125,Open,3,5,img/OLÁ.png,GELATARIA E DOÇARIA,"{""Monday"": ""10:00 a.m. - 12:00 a.m."", ""Tuesday"": ""10:00 a.m. - 12:00 a.m."", ""Wednesday"": ""10:00 a.m. - 12:00 a.m."", ""Thursday"": ""10:00 a.m. - 12:00 a.m."", ""Friday"": ""10:00 a.m. - 12:00 a.m."", ""Saturday"": ""10:00 a.m. - 12:00 a.m."", ""Sunday"": ""10:00 a.m. - 12:00 a.m.""}",+351 800 123 456,"facebook.com/example, instagram.com/example"
1,COFFEE & ME,4.6,456,Open,3,18,img/COFFEE E ME.jpg,CAFÉ E PASTELARIA,"{""Monday"": ""10:00 a.m. - 12:00 a.m."", ""Tuesday"": ""10:00 a.m. - 12:00 a.m."", ""Wednesday"": ""10:00 a.m. - 12:00 a.m."", ""Thursday"": ""10:00 a.m. - 12:00 a.m."", ""Friday"": ""10:00 a.m. - 12:00 a.m."", ""Saturday"": ""10:00 a.m. - 12:00 a.m."", ""Sunday"": ""10:00 a.m. - 12:00 a.m.""}",+351 800 123 456,"facebook.com/example, instagram.com/example"
1,DESEJO PRONTO DELICIOUS COFFE & GRILL,4.8,1364,Closed,3,7,img\DESEJO PRONTO DELICIOUS COFFE & GRILL.jpeg,CAFÉ E PASTELARIA,"{""Monday"": ""10:00 a.m. - 12:00 a.m."", ""Tuesday"": ""10:00 a.m. - 12:00 a.m."", ""Wednesday"": ""10:00 a.m. - 12:00 a.m."", ""Thursday"": ""10:00 a.m. - 12:00 a.m."", ""Friday"": ""10:00 a.m. - 12:00 a.m."", ""Saturday"": ""10:00 a.m. - 12:00 a.m."", ""Sunday"": ""10:00 a.m. - 12:00 a.m.""}",+351 800 123 456,"facebook.com/example, instagram.com/example"
1,FRANGO DA GARE,3.7,1440,Closed,2,17,img\FRANGO DA GARE.jpeg,PORTUGUESA,"{""Monday"": ""10:00 a.m. - 12:00 a.m."", ""Tuesday"": ""10:00 a.m. - 12:00 a.m."", ""Wednesday"": ""10:00 a.m. - 12:00 a.m."", ""Thursday"": ""10:00 a.m. - 12:00 a.m."", ""Friday"": ""10:00 a.m. - 12:00 a.m."", ""Saturday"": ""10:00 a.m. - 12:00 a.m."", ""Sunday"": ""10:00 a.m. - 12:00 a.m.""}",+351 800 123 456,"facebook.com/example, instagram.com/example"
